Genotype,"Mean(# Seeds (good), Italy, 2010)","Mean(# Seeds (good), Italy, 2011)","Mean(# Seeds (good), Sweden, 2010)","Mean(# Seeds (good), Sweden, 2011)","N(# Seeds (good), Italy, 2010)","N(# Seeds (good), Italy, 2011)","N(# Seeds (good), Sweden, 2010)","N(# Seeds (good), Sweden, 2011)","Mean(MSeedMass(ug), Italy, 2010)","Mean(MSeedMass(ug), Italy, 2011)","Mean(MSeedMass(ug), Sweden, 2010)","Mean(MSeedMass(ug), Sweden, 2011)","N(MSeedMass(ug), Italy, 2010)","N(MSeedMass(ug), Italy, 2011)","N(MSeedMass(ug), Sweden, 2010)","N(MSeedMass(ug), Sweden, 2011)","Mean(TotMass(ug), Italy, 2010)","Mean(TotMass(ug), Italy, 2011)","Mean(TotMass(ug), Sweden, 2010)","Mean(TotMass(ug), Sweden, 2011)","N(TotMass(ug), Italy, 2010)","N(TotMass(ug), Italy, 2011)","N(TotMass(ug), Sweden, 2010)","N(TotMass(ug), Sweden, 2011)"
116,28.3333333333,30.5714285714,30.6666666667,29,6,7,3,3,23.3172508818,24.9724080205,27.5990675991,26.0846560847,6,7,3,3,668.3333333333,740,853.3333333333,773.3333333333,6,7,3,3
120,34.5714285714,29.4,34.7142857143,35,7,5,7,6,28.0466949728,19.518128655,25.9402873452,26.624698667,7,5,7,6,972.8571428571,646,901.4285714286,923.3333333333,7,5,7,6
123,7,29.5,39.8888888889,32.5,1,4,9,4,15.7142857143,22.354197901,26.9614641221,26.2718142341,1,4,9,4,110,665,1076.6666666667,860,1,4,9,4
124,21.6,26.7142857143,33,25.5,5,7,1,4,19.7377403063,18.7640625096,32.1212121212,30.774122807,5,6,1,4,428,606.6666666667,1060,782.5,5,6,1,4
126,28.5,32.375,27.75,31,4,8,4,4,20.3101335328,20.4556166841,20.8293621701,23.9765807324,4,8,4,4,570,661.25,580,742.5,4,8,4,4
127,28.75,29.2,32.25,29.5,4,5,4,6,21.648478836,19.1498989516,22.3815052337,26.6804913474,4,5,4,6,622.5,552,722.5,776.6666666667,4,5,4,6
128,29.75,30,36.2,27.2,4,6,5,5,20.837535014,18.4904569252,26.8206353049,24.251962677,4,6,5,4,617.5,560,970,630,4,6,5,4
129,24.125,26.2857142857,36.1666666667,25.6,8,7,6,5,25.3343360492,20.6461408961,25.6278075538,27.0950915751,8,6,6,5,613.75,635,925,714,8,6,6,5
130,27.8333333333,31.3636363636,36.75,30,6,11,4,4,21.1127619754,17.2825850399,24.0159774436,27.5417811355,6,11,4,4,591.6666666667,550.9090909091,882.5,822.5,6,11,4,4
132,24.75,17.6666666667,30.1666666667,28,8,6,6,4,21.7430229831,16.6742964147,23.1234156731,25.1411043666,8,5,6,4,545,356,698.3333333333,707.5,8,5,6,4
134,24.3333333333,17.5714285714,17.6666666667,14,6,7,3,4,42.94749455,28.5919191919,38.287037037,39.9615384615,6,5,3,4,965,652,680,562.5,6,5,3,4
136,26,26.2,36,35.5,7,5,4,6,18.6412770868,22.6280807305,25.2083333333,25.1899759904,7,5,4,6,481.4285714286,560,907.5,905,7,5,4,6
137,34.5,33,38.75,40.25,4,8,4,4,21.5417096663,20.57318802,24.2471988796,27.0761093486,4,8,4,4,795,701.25,927.5,1070,4,8,4,4
138,31,41.4,30.1428571429,23,4,5,7,5,27.5589225589,22.186194091,23.6293909426,25.1167557932,3,5,7,5,686.6666666667,922,704.2857142857,558,3,5,7,5
139,28,19,37,38,6,2,4,1,19.3663210445,18.5,23.0991404429,18.6842105263,6,2,4,1,543.3333333333,280,860,710,6,2,4,1
140,31.4285714286,26.4444444444,30.2,23.6666666667,7,9,5,3,25.1414369774,23.825145455,25.8024779818,26.1029258098,7,9,5,3,800,638.8888888889,788,613.3333333333,7,9,5,3
141,19.8,24,36.1666666667,31.6666666667,5,5,6,3,26.3293188293,23.9479331126,22.8926330053,23.7490031898,5,5,5,3,466,556,816,783.3333333333,5,5,5,3
143,28.8571428571,33,30.4,30.8,7,3,5,5,23.6977254533,24.0202020202,21.7137433614,23.7384363338,7,3,5,5,692.8571428571,820,708,730,7,3,5,5
144,31.6,28.75,33.1666666667,35.25,5,4,6,4,23.202355195,20.5667723749,26.1780796898,29.1888776428,5,4,6,4,728,610,856.6666666667,1025,5,4,6,4
145,19.25,17.6,36.2857142857,31,4,5,7,3,21.6666666667,11.633186473,30.9295256166,30.0639398915,4,4,7,3,425,250,1128.5714285714,926.6666666667,4,4,7,3
146,33.7142857143,39.25,33,28.5,7,4,2,2,21.668933619,20.4640035607,25.3308823529,28.0925925926,7,4,2,2,722.8571428571,790,835,805,7,4,2,2
147,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0
148,27.3333333333,20.8571428571,36,35,3,7,5,4,25.1314217443,23.4875285953,26.3210573211,27.1838580827,3,7,5,4,683.3333333333,465.7142857143,934,940,3,7,5,4
149,40.6,37.6666666667,33.4,24,5,9,5,3,23.8526636172,21.6350956434,27.5027417027,27.137973138,5,9,5,3,988,844.4444444444,918,643.3333333333,5,9,5,3
150,27.2,28.5714285714,33.5,26.2,5,7,6,5,20.8890646984,20.0162110138,27.4082870234,26.3592546584,5,7,6,5,596,580,908.3333333333,696,5,7,6,5
152,30.375,25.875,38.5,47,8,8,6,2,25.9208250648,19.4463629236,27.065760791,24.6808510638,8,7,6,2,795,561.4285714286,1038.3333333333,1160,8,7,6,2
154,13,23.2222222222,34.3333333333,32.1666666667,4,9,6,6,17.9329004329,19.6371848163,27.7306482902,31.1555066797,4,7,6,6,232.5,520,958.3333333333,1005,4,7,6,6
155,24,18.1111111111,44.1428571429,35.8571428571,6,9,7,7,21.4870614035,21.281929768,23.6868106983,24.9744069311,6,7,7,7,505,445.7142857143,1035.7142857143,890,6,7,7,7
157,26.8333333333,29.1666666667,37.8333333333,30,6,6,6,5,21.3404159549,17.7380213141,24.3366682346,25.303030303,6,6,6,5,565,523.3333333333,906.6666666667,772,6,6,6,5
158,30.8571428571,27,31,28.4,7,9,4,5,22.0928626037,21.2617791467,21.3736263736,26.6291666667,7,9,4,5,681.4285714286,575.5555555556,765,790,7,9,4,5
159,27.3333333333,32.6666666667,42.1666666667,35,6,6,6,1,24.2717117848,22.4143654966,23.9865433455,30,6,6,6,1,668.3333333333,743.3333333333,1015,1050,6,6,6,1
160,30.2,27.8,38,22.8571428571,5,5,8,7,30.5962308295,22.7843960476,26.9094579657,28.288420835,5,5,8,7,910,640,1025,637.1428571429,5,5,8,7
163,31.5714285714,32.2,35,35,7,10,6,5,20.9001003732,15.979393546,24.0584282987,26.2319235589,7,9,6,5,672.8571428571,536.6666666667,826.6666666667,938,7,9,6,5
165,29.125,33.8571428571,38,32.5714285714,8,7,3,7,28.0327695966,21.6360826789,25.3718503719,28.7424408839,8,7,3,7,833.75,775.7142857143,963.3333333333,910,8,7,3,7
167,23.6666666667,28.6666666667,39,20,3,3,3,1,17.5187969925,18.1352657005,23.7825083413,19,3,3,3,1,426.6666666667,510,933.3333333333,380,3,3,3,1
169,31.8333333333,22.3333333333,36.5,38.5,6,3,4,4,23.3981902742,16.2212212212,22.2554347826,23.7802148972,6,3,4,4,716.6666666667,380,802.5,902.5,6,3,4,4
170,35.3333333333,32.1428571429,41,39.4285714286,6,7,4,7,21.6274855112,18.7680428826,21.4317833068,24.7125934187,6,7,4,7,771.6666666667,592.8571428571,885,968.5714285714,6,7,4,7
171,27.25,24.7142857143,30.4,33.4,4,7,5,5,21.6138344227,18.2870275888,23.2889581297,22.2253952616,4,7,5,5,577.5,445.7142857143,698,754,4,7,5,5
173,25.25,29.6,35.75,28,4,5,4,5,25.9079111945,21.422462406,26.312245776,28.8736568837,4,5,4,5,542.5,628,925,814,4,5,4,5
174,26.4,37,41,36,5,4,4,6,24.4901602229,16.9268231768,22.6388323658,24.821885785,4,4,4,6,683.75,642.5,920,883.3333333333,4,4,4,6
175,17,34,28.2857142857,22.5,4,8,7,2,23.7424242424,18.7687500324,24.3303611891,23.6314655172,2,8,7,2,605,633.75,685.7142857143,535,2,8,7,2
176,,25.25,40,30.5,0,4,9,2,,20.1430170377,26.1536684086,30.2083333333,0,3,9,2,,690,1030,870,0,3,9,2
179,23.2,32.2,30.8888888889,26.75,5,5,9,4,28.0410774411,23.3027317397,26.8109856107,28.6821004199,5,5,9,4,648,754,826.6666666667,782.5,5,5,9,4
181,23.6,31.5,30.6666666667,39,5,4,6,1,15.8502162897,16.5205853175,24.6346115625,22.0512820513,5,4,6,1,384,520,756.6666666667,860,5,4,6,1
182,20.2,24.3,37,30.875,5,10,4,8,26.9150623886,19.2935290844,24.9865432897,27.4778322987,5,10,4,8,506,469,930,848.75,5,10,4,8
184,,21.5,,34.3333333333,0,4,0,6,,28.1355311355,,29.769243075,0,4,0,5,,585,,1220,0,4,0,5
186,,19.3333333333,,34.7,0,6,0,10,,17.871703789,,27.45618873,0,6,0,10,,330,,951,0,6,0,10
187,24.5714285714,28,31,28.6,7,3,6,5,18.5605803389,13.2551020408,24.8005540654,24.1219851117,7,2,6,5,448.5714285714,545,760,680,7,2,6,5
188,19.5,21.8333333333,37.75,40.5,6,6,8,2,21.4603030303,14.689575847,22.5619829732,23.7222222222,5,5,8,2,382,388,846.25,945,5,5,8,2
189,27.4,26.6666666667,36.6,28,10,3,5,5,24.8258064699,18.0222222222,23.7433330154,25.7329749323,10,3,5,5,683,476.6666666667,880,710,10,3,5,5
190,31.3333333333,29.6666666667,29.4,27.8333333333,6,6,5,6,26.0374528655,23.0448791901,29.2780197519,26.2419628865,6,6,5,6,803.3333333333,688.3333333333,834,743.3333333333,6,6,5,6
191,31.6666666667,30.25,37.2857142857,31.3333333333,9,4,7,3,25.3515305357,19.2026143791,26.0051811422,28.7593052109,9,4,7,3,807.7777777778,585,971.4285714286,906.6666666667,9,4,7,3
192,30.75,29.5,41.8,39,8,6,5,3,19.8479519441,16.3063065695,23.2981752056,21.775971093,8,6,5,3,592.5,490,974,850,8,6,5,3
194,30.5714285714,26.4,39.1666666667,32.2857142857,7,5,6,7,22.0584950324,24.155862069,25.8785438645,32.0707323858,7,5,6,7,681.4285714286,634,1011.6666666667,941.4285714286,7,5,6,7
195,34.1,33.1428571429,39.6,32.8,10,7,5,5,25.8998144343,23.2508998026,25.3081245338,26.9697722567,10,7,5,5,880,771.4285714286,1006,892,10,7,5,5
196,27.375,26.2,39.125,36,8,5,8,6,24.1213707422,16.8579492403,26.3888199171,29.2605931648,8,5,8,6,647.5,420,1008.75,1051.6666666667,8,5,8,6
197,31.5,27.875,28.5714285714,24.5,4,8,7,2,24.511257764,18.4473737771,26.4013784986,23.2996632997,4,8,7,2,772.5,557.5,751.4285714286,570,4,8,7,2
198,23.5,20.3333333333,34.8333333333,27,4,3,6,6,18.7619617225,21.5042735043,25.7749354005,28.9784289784,4,3,6,6,432.5,443.3333333333,883.3333333333,783.3333333333,4,3,6,6
199,31,29.875,41,28,4,8,5,7,21.3276763887,18.4444023817,21.2356593784,26.012488898,4,8,5,7,662.5,550,872,705.7142857143,4,8,5,7
200,23.8,26,38,30.1666666667,5,2,4,6,20.9158249158,24.4242424242,22.8067521171,24.7857430564,5,2,4,6,512,620,872.5,750,5,2,4,6
202,25.2,31.5,36.3333333333,28.1666666667,5,2,6,6,21.7578687622,19.9074074074,25.50998831,27.0506052542,5,2,6,6,560,620,918.3333333333,780,5,2,6,6
203,19.5,27.5714285714,27.75,28.6666666667,6,7,4,3,21.7085297419,21.3203537132,25.9308970599,28.3140096618,6,7,3,3,416.6666666667,621.4285714286,603.3333333333,826.6666666667,6,7,3,3
205,28.8571428571,29.4,40.8571428571,35,7,5,7,6,16.9801040216,13.024327116,24.5411415356,23.9101300032,7,5,7,6,488.5714285714,398,1008.5714285714,843.3333333333,7,5,7,6
206,24.25,22.5,36.8333333333,32.75,4,8,6,4,14.9513888889,20.8409088773,24.5753308207,27.6810818492,4,8,6,4,367.5,476.25,910,912.5,4,8,6,4
207,26.25,23.2,41.8571428571,15,4,5,7,2,18.2228535354,18.2056878307,22.9428320994,24.1628959276,4,5,7,2,485,420,961.4285714286,360,4,5,7,2
208,37.6,31.5,34.8333333333,36.2,5,6,6,5,17.832570604,18.7563364055,23.3692624777,25.899489447,5,6,6,5,706,591.6666666667,816.6666666667,942,5,6,6,5
209,36.5,23.8333333333,28.25,31.7142857143,8,6,4,7,22.5863095238,21.2267892664,26.2190320573,27.1937476518,8,6,4,7,823.75,528.3333333333,742.5,870,8,6,4,7
210,31.8333333333,26,39,32.1666666667,6,4,4,6,21.4977438021,15.0454545455,20.719875931,24.9969296288,6,4,4,6,678.3333333333,377.5,810,793.3333333333,6,4,4,6
212,25.75,26.5714285714,36.6,28,4,7,5,5,20.7046166897,18.5964234179,25.0893998514,25.0294657097,4,7,5,5,540,482.8571428571,928,706,4,7,5,5
213,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0
214,27.4285714286,21.25,39.5,24,7,4,4,1,25.4842105154,15.8928571429,25.6871765382,30.8333333333,7,4,4,1,648.5714285714,357.5,1010,740,7,4,4,1
216,25.2,26.7142857143,32,25.25,5,7,8,4,26.0569105691,19.6186575329,26.7980688484,29.4672919673,5,7,8,4,678,567.1428571429,866.25,740,5,7,8,4
218,26.6,22.5714285714,41.25,36.3333333333,5,7,4,6,23.271155631,24.6848096012,25.8851449275,29.322997416,5,7,4,6,618,537.1428571429,1060,1053.3333333333,5,7,4,6
219,26.75,14,31.75,26.1428571429,4,2,4,7,23.2475574713,18.8888888889,29.6874236874,26.8785951288,4,1,4,7,610,510,930,727.1428571429,4,1,4,7
220,26.4285714286,27.875,34.5,30,7,8,4,1,24.4883394728,21.0782685729,26.8202614379,23,7,7,4,1,648.5714285714,671.4285714286,920,690,7,7,4,1
222,33,29.8571428571,43.2,33,4,7,5,4,25.7750256016,25.3896350724,27.4294355071,27.1113826579,4,7,5,4,852.5,737.1428571429,1186,895,4,7,5,4
223,29.75,29.2,36.4,24.7142857143,4,5,5,7,22.2386345231,19.2209239677,26.532125769,28.8436582362,4,5,5,7,660,586,962,704.2857142857,4,5,5,7
224,34.8,26,41.2,33,5,6,5,5,21.9086691087,17.5305284993,23.738195957,26.6757681244,5,6,5,5,762,450,978,872,5,6,5,5
225,21.5,26.875,38.5,35.1666666667,4,8,4,6,22.9075091575,22.7738975598,24.0359436699,28.3599343491,4,8,4,6,492.5,600,930,973.3333333333,4,8,4,6
226,27.3333333333,27.3333333333,35.1428571429,33.875,6,6,7,8,23.539973,24.1189438064,26.834637633,27.7901947593,6,6,7,8,633.3333333333,673.3333333333,941.4285714286,938.75,6,6,7,8
227,27.25,28.4,38.25,29.6,4,5,4,5,24.8074229692,22.354512888,31.498871634,31.9949277008,4,5,4,5,707.5,674,1195,950,4,5,4,5
228,30.75,26.4285714286,43.5714285714,36.4,4,7,7,5,25.4996360496,19.6871087091,22.8716576115,21.980400982,4,7,7,5,745,535.7142857143,978.5714285714,840,4,7,7,5
230,24.2,22.5714285714,37.75,36,5,7,4,1,25.095507923,19.9336020803,21.5055361305,23.0555555556,5,6,4,1,610,523.3333333333,810,830,5,6,4,1
232,24.5714285714,22.6,36.3333333333,23,7,5,6,6,22.0788377744,21.1135512673,26.2404272051,30.3141212488,6,4,6,6,545,595,951.6666666667,653.3333333333,6,4,6,6
234,23.6,27.5,33.8333333333,28.6,5,8,6,5,20.2952380952,20.291678438,28.2330253078,28.1486291486,5,7,6,5,460,612.8571428571,946.6666666667,804,5,7,6,5
236,27.3333333333,24.4,39.7142857143,26,6,5,7,3,20.3999476111,13.9075611888,22.9039711675,26.9452409399,6,4,7,3,533.3333333333,437.5,907.1428571429,683.3333333333,6,4,7,3
237,28.6,25.6,36.8,26.8888888889,5,5,5,9,17.5882408725,20.0849224305,24.3077816492,26.4482234248,4,4,5,9,480,510,892,702.2222222222,4,4,5,9
239,29.8,32.8571428571,36.8333333333,32.8571428571,5,7,6,7,20.9922107641,24.959900107,25.076143848,25.5374321857,5,7,6,7,644,841.4285714286,915,842.8571428571,5,7,6,7
240,28.75,28.6,39.75,35.6666666667,4,10,8,6,21.8387923351,20.5551490847,25.4885860479,25.2203629704,4,10,8,6,630,625,997.5,905,4,10,8,6
241,30.25,31.875,24.6666666667,31.75,4,8,3,4,22.1736857826,17.6054315476,21.799899447,25.7362745098,4,8,3,4,662.5,558.75,533.3333333333,797.5,4,8,3,4
242,19.5,20.4,32.5,33.4285714286,4,5,4,7,21.9005847953,20.7324175824,24.4689276241,29.2422791134,4,5,4,7,430,438,812.5,977.1428571429,4,5,4,7
243,20.6666666667,20.5,28,36.5,3,6,4,8,29.696037296,18.5850946439,23.900057547,28.9425540515,3,6,4,8,623.3333333333,365,677.5,1055,3,6,4,8
245,28.3333333333,20.3333333333,41.25,34.5,6,3,4,6,28.0296296296,13.5719814241,25.3374355244,29.820853083,6,3,4,6,821.6666666667,270,1047.5,1010,6,3,4,6
246,26.4285714286,32,39.625,36,7,4,8,4,22.7819758952,19.2981427485,24.5848652313,27.9391025641,7,4,7,4,597.1428571429,615,972.8571428571,1007.5,7,4,7,4
247,22,23.6666666667,38.8,36.625,4,3,5,8,20.8100744285,13.7483660131,21.8616198616,26.5017920676,3,3,5,8,580,296.6666666667,864,970,3,3,5,8
249,28.5,18.75,40.125,37.8571428571,4,4,8,7,19.7690097259,20.580495356,23.5069271914,23.4945042762,4,3,8,7,567.5,380,933.75,880,4,3,8,7
251,23.75,20.4,40.3333333333,30.6,4,5,6,5,28.6785296868,23.3565089194,24.3998149755,26.8088431807,4,5,6,5,662.5,450,981.6666666667,828,4,5,6,5
253,31,25.2857142857,42.6666666667,30.8333333333,4,7,6,6,19.8533595216,16.14973907,21.5061329606,22.3599585759,4,7,6,6,657.5,410,916.6666666667,718.3333333333,4,7,6,6
254,30.1666666667,21.3333333333,39.8,31,6,6,5,6,24.6702173275,15.9431818182,26.7656177922,30.1263277689,6,6,5,6,741.6666666667,320,1056,941.6666666667,6,6,5,6
256,42.4285714286,27.7,29,43.6666666667,7,10,7,3,24.3400315026,22.9231908643,24.8188798066,25.5946410893,7,10,7,3,1030,594,720,1116.6666666667,7,10,7,3
259,29,25.8888888889,39.8,21.6666666667,4,9,5,3,26.7060867027,25.5522174803,26.2872388726,25.6537356322,4,9,5,3,792.5,612.2222222222,1046,560,4,9,5,3
260,31.3333333333,23.4,37.125,33.1111111111,6,5,8,9,22.7444706853,25.3367003367,27.6431363855,27.3719220419,6,3,8,9,708.3333333333,766.6666666667,1026.25,904.4444444444,6,3,8,9
262,20,15.75,31.2,29.1666666667,4,4,5,6,19.5492776058,24.4709383754,24.7029531192,26.596510547,4,4,5,6,395,387.5,768,781.6666666667,4,4,5,6
263,22.4,25,36.1428571429,29,5,8,7,5,23.9904761905,21.981572116,28.5822265843,30.4799505734,5,7,7,5,542,622.8571428571,1031.4285714286,882,5,7,7,5
264,24.75,17.75,32,24,4,8,5,4,24.8315412186,17.3629540749,25.3635963093,28.1964285714,4,6,5,4,537.5,360,802,652.5,4,6,5,4
266,30,25.25,36.3333333333,33,4,4,3,8,21.0974259974,17.1957671958,27.7166080107,26.235196075,4,3,3,8,637.5,450,1003.3333333333,865,4,3,3,8
267,24.5,27.2,39.75,29.6666666667,4,5,4,6,22.1050108932,19.002955665,27.4397834016,29.4274891775,3,5,4,6,740,528,1092.5,881.6666666667,3,5,4,6
268,27.4,24.7777777778,30.6,26,5,9,5,3,20.8301762632,14.9988592271,20.3697404782,22.6676441838,5,9,5,3,554,374.4444444444,638,593.3333333333,5,9,5,3
270,23.75,27.1111111111,39,30.25,4,9,5,8,23.5939849624,22.4625010034,27.463474787,24.6092645312,4,9,5,8,565,606.6666666667,1068,723.75,4,9,5,8
272,36.6666666667,28.8888888889,29,30.25,6,9,4,4,24.8481839673,22.3213294749,24.0817307692,26.1029411765,6,7,4,4,925,767.1428571429,705,787.5,6,7,4,4
273,23.4,20.6666666667,45.75,31.6,5,6,4,5,22.2582123759,14.2474120083,27.6830775789,29.5134053872,5,5,4,5,518,334,1257.5,918,5,5,4,5
275,27,27.1428571429,38.4285714286,28.3333333333,5,7,7,6,23.0172619048,16.7308321398,24.9243084485,25.3116938326,5,7,7,6,624,450,955.7142857143,725,5,7,7,6
279,25.6666666667,32,27.7142857143,30.3333333333,6,7,7,3,25.1725484871,22.1545452335,25.3874221911,29.2629462041,6,6,7,3,633.3333333333,765,691.4285714286,866.6666666667,6,6,7,3
281,26.6,19,42.75,34.6666666667,5,1,4,3,24.4646945647,5.7894736842,24.7626262626,27.4113300493,5,1,4,3,648,110,1060,956.6666666667,5,1,4,3
282,23,17.25,34.6666666667,26.5,4,4,6,6,24.4404761905,21.5865384615,27.112104479,29.0058651088,4,2,6,6,600,720,941.6666666667,750,4,2,6,6
284,27.1666666667,29.7777777778,42.25,38.8333333333,6,9,8,6,24.7360654424,23.3122153254,24.3482623574,26.7647450318,6,9,8,6,670,698.8888888889,1022.5,1020,6,9,8,6
285,31.25,26.8571428571,40.6,27.6,4,7,5,5,25.0528297239,23.2582243404,25.210687123,28.8296934866,4,7,5,5,787.5,604.2857142857,1016,798,4,7,5,5
289,27.8333333333,31.2857142857,32,34.5,6,7,4,8,19.8726602005,19.4377865204,25.1068937276,24.546057204,6,7,4,8,548.3333333333,651.4285714286,800,861.25,6,7,4,8
291,24,29.7142857143,40.2857142857,28,5,7,7,4,20.9292391304,21.2920872895,25.9643358762,29.5288841593,5,7,7,4,508,618.5714285714,1044.2857142857,822.5,5,7,7,4
295,30,22.8571428571,38.75,31,6,7,8,4,21.8673192506,15.9589319599,24.9938829179,25.9513708514,6,7,8,4,655,385.7142857143,961.25,797.5,6,7,8,4
297,30.5,23,35.5714285714,34.5,6,6,7,6,18.2917858144,21.8911150984,24.5007834378,28.059234625,6,6,7,6,573.3333333333,501.6666666667,840,948.3333333333,6,6,7,6
299,24.3333333333,17.2,42.8,29.7142857143,3,5,5,7,19.2153923038,19.5921474359,24.7722926214,27.3465867829,3,4,5,6,450,395,1056,936.6666666667,3,4,5,6
301,26,25.4444444444,30.875,27,8,9,8,4,23.309965935,20.1137578434,26.9621406344,30.7202380952,8,9,8,4,600,518.8888888889,836.25,820,8,9,8,4
302,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0
303,32,30.3333333333,42.3333333333,33.8,2,3,3,5,35.4166666667,19.134716339,28.183982684,30.7661865157,2,3,3,5,1190,573.3333333333,1183.3333333333,1034,2,3,3,5
304,33.8,20.75,41.25,29.2857142857,5,12,4,7,22.6885133982,21.4683221928,27.4147274294,27.089673892,5,9,4,7,772,543.3333333333,1122.5,788.5714285714,5,9,4,7
305,18,21.7142857143,35,20.8,4,7,2,5,22.9171000624,17.001196606,29.4161184211,28.1269431644,4,7,2,5,412.5,354.2857142857,1025,596,4,7,2,5
