Genotype,"Mean(# Seeds (good), Italy, 2010)","Mean(# Seeds (good), Italy, 2011)","Mean(# Seeds (good), Sweden, 2010)","Mean(# Seeds (good), Sweden, 2011)","N(# Seeds (good), Italy, 2010)","N(# Seeds (good), Italy, 2011)","N(# Seeds (good), Sweden, 2010)","N(# Seeds (good), Sweden, 2011)","Mean(MSeedMass(ug), Italy, 2010)","Mean(MSeedMass(ug), Italy, 2011)","Mean(MSeedMass(ug), Sweden, 2010)","Mean(MSeedMass(ug), Sweden, 2011)","N(MSeedMass(ug), Italy, 2010)","N(MSeedMass(ug), Italy, 2011)","N(MSeedMass(ug), Sweden, 2010)","N(MSeedMass(ug), Sweden, 2011)","Mean(TotMass(ug), Italy, 2010)","Mean(TotMass(ug), Italy, 2011)","Mean(TotMass(ug), Sweden, 2010)","Mean(TotMass(ug), Sweden, 2011)","N(TotMass(ug), Italy, 2010)","N(TotMass(ug), Italy, 2011)","N(TotMass(ug), Sweden, 2010)","N(TotMass(ug), Sweden, 2011)"
306,36.5,28.625,37.5714285714,26.25,6,8,7,4,23.3284524718,20.8263378268,26.0680038119,23.6428571429,6,8,7,4,845,617.5,980,630,6,8,7,4
308,28,24.7142857143,39.6666666667,37.2,6,7,3,5,25.6110703812,26.1507816694,26.4285714286,23.4822151964,6,6,3,5,713.3333333333,750,1043.3333333333,874,6,6,3,5
309,28.5,27.375,37,27.5,4,8,3,4,22.6090923466,20.2851270053,24.8302808303,28.3166248956,4,8,3,4,642.5,571.25,916.6666666667,755,4,8,3,4
310,28.6,20.1428571429,31.6666666667,30.75,5,7,3,8,19.468271757,19.4373487598,23.6740740741,26.2946797369,5,6,3,8,542,461.6666666667,753.3333333333,832.5,5,6,3,8
311,28.5,31.5,33.25,20,2,4,8,2,21.4205955335,13.769186291,21.6629068679,24.0601503759,2,4,8,2,615,450,722.5,480,2,4,8,2
312,35,27.8,44,42.4,4,5,4,5,23.9207964029,21.072954823,23.3661817587,28.8193722944,4,4,4,5,835,745,1032.5,1214,4,4,4,5
313,23.5714285714,25.6666666667,35,27.25,7,6,6,4,23.2234071772,22.4263116682,24.7238409738,27.8234935563,7,6,6,4,542.8571428571,598.3333333333,866.6666666667,742.5,7,6,6,4
314,30,24.2727272727,38.3333333333,33.1428571429,7,11,3,7,24.7240991345,24.7228155616,28.7365414195,27.4722800918,7,11,3,7,740,601.8181818182,1100,921.4285714286,7,11,3,7
316,24.1666666667,27.125,36.5,33.6,6,8,4,5,24.797014717,20.9382665945,24.9435136562,25.0272727273,5,8,4,5,674,568.75,915,852,5,8,4,5
317,20.5,31.75,32.6666666667,33.7142857143,2,4,6,7,25.7121212121,18.9753211629,28.3794808436,28.5037067183,2,4,6,7,495,610,888.3333333333,967.1428571429,2,4,6,7
323,25.2222222222,29.4444444444,33.5,35.4,9,9,8,5,21.5543531538,24.5513114925,26.087541007,27.0304281039,9,9,8,5,535.5555555556,737.7777777778,882.5,958,9,9,8,5
324,22,27,40.8,33.3333333333,4,6,5,6,24.5294560512,22.7002660707,25.4691094141,25.1459223518,4,6,5,6,540,600,1038,913.3333333333,4,6,5,6
326,23.5,24.8333333333,35.7142857143,32.2857142857,4,6,7,7,20.7989130435,27.0301392507,28.3684605124,30.2776485659,4,6,7,7,485,666.6666666667,994.2857142857,938.5714285714,4,6,7,7
328,22.5714285714,29.2,36.2,33.8333333333,7,5,5,6,20.5573138346,18.1174231566,23.5028789659,25.3202729309,7,5,5,6,477.1428571429,554,850,863.3333333333,7,5,5,6
330,35.25,29.625,28.4,25,4,8,5,1,19.1373603205,17.480334114,19.6206959707,27.2,4,8,5,1,672.5,533.75,550,680,4,8,5,1
331,26,22.875,37.6666666667,26.5,5,8,6,6,23.6343123543,19.4918479769,24.9512579134,24.8148430114,5,8,6,6,612,447.5,941.6666666667,663.3333333333,5,8,6,6
332,22.8,22,26.5,29,5,9,4,8,26.4348093758,21.2384779774,24.4535522044,27.2321976807,5,8,4,8,578,520,647.5,787.5,5,8,4,8
333,25.25,35.5,37.1428571429,35.1666666667,4,6,7,6,25.6375565611,17.8822225072,25.0140067418,25.5813884258,4,6,7,6,630,636.6666666667,927.1428571429,898.3333333333,4,6,7,6
334,20.25,21.5,29,27.3333333333,4,6,4,6,23.047979798,17.4965942954,25.4296001159,26.5775115689,4,6,4,6,467.5,393.3333333333,740,731.6666666667,4,6,4,6
