id,F09_NFruitIt_noedge_lsm,F09_NFruitSw_noedge_lsm,F10_NFruitIt_noedge_lsm,F10_NFruitSw_noedge_lsm,F11_NFruitIt_noedge_lsm,F11_NFruitSw_noedge_lsm
92,12.51049922,11.96093578,7.997105,26.48445983,8.700864632,16.23659814
99,12.04284001,11.70637714,6.555951,21.03521001,9.60199111,7.91280152
100,14.06349478,12.97940287,9.37529,22.6850194,8.773476986,9.914423594
103,8.925213207,8.79851152,5.26256,22.84554756,6.474639708,11.25187309
104,10.58239987,10.14016132,4.974967,22.51336604,6.569679025,11.61913589
105,12.93080346,10.60923391,10.230541,24.27701023,6.568792616,16.87813293
106,9.070701612,12.20762608,8.074623,23.47759748,6.400401297,12.64026413
108,14.51050655,11.1761182,10.372577,20.98565011,9.319041199,12.26534549
109,15.32773764,11.06275302,9.187531,24.36722302,12.51009424,12.44676033
110,12.21358774,11.00636855,11.239281,22.78491771,12.37254441,17.29599182
111,13.2240763,9.887438113,8.189661,21.70611032,11.60149459,9.668328181
114,12.03183934,11.52764571,12.246038,24.41759569,8.542794853,15.49432093
115,12.23204804,10.7682297,7.266531,22.8033726,9.287555779,12.93750909
116,13.89256223,9.565096,8.442302,22.70575721,11.34311672,11.18067823
120,13.01492225,13.0282447,11.519265,23.39103704,10.66226733,13.04525609
123,10.00833969,9.119886047,3.860068,24.98873556,7.909658757,15.41698173
124,12.05969826,11.57615638,4.483208,22.81121359,7.595638871,7.552739241
126,17.35358838,10.76041769,7.767634,22.18939977,12.23194741,15.28575031
127,12.60198309,9.395415588,7.302597,21.76358975,5.724964395,13.31492578
128,11.67740338,11.08734554,5.110632,23.01504011,8.964046534,9.439604094
129,13.70904858,10.40236964,5.416126,22.14697059,8.396903631,7.999998759
130,14.21546005,10.62018577,6.209069,22.32429574,8.713947547,10.06477549
132,14.33308964,12.11287318,6.371401,26.51935376,8.388952315,12.58378025
134,11.35836807,8.651950818,7.58389,21.29705111,8.003077315,10.48613975
136,12.61862571,13.02097553,6.883139,24.64830544,6.295229907,14.79722814
137,10.24073688,10.38069583,7.304524,22.47554223,7.268877938,15.46230264
138,15.44030053,9.206866988,11.645381,24.84183067,13.92080661,10.62244034
139,12.36537408,11.3255848,10.542808,22.32735224,6.712868461,11.37963259
140,14.1575313,11.44079021,12.590908,23.28511208,10.52716916,11.92543947
141,15.14920976,11.89954947,5.078055,22.72973256,7.651197752,10.20813095
143,15.31699945,12.23348295,9.631995,23.11225068,10.20303433,10.9700668
144,9.98739342,11.13398156,5.762031,22.76858783,6.899499468,18.6466441
145,8.813756358,9.907016324,4.439017,23.58352935,5.23661948,14.24088811
146,15.80898637,11.26060332,10.146369,27.30225207,15.17926613,11.91528331
147,14.30735242,12.13177709,,,,
148,10.95471281,12.2994449,5.127023,23.67648514,5.799553665,18.76227362
149,15.02900997,9.589360569,10.820054,24.05307229,14.42237399,10.38678664
150,12.64944841,9.792394959,8.47753,23.6310804,10.58364848,14.02914606
152,13.67803102,9.562134659,12.011412,22.8464933,12.03904957,11.09227105
154,10.42153335,10.50374908,5.257716,25.09599326,7.999979312,16.45870287
155,15.25346097,10.48351134,12.050806,25.21382609,8.837565911,15.76711172
157,14.6457929,12.4285698,10.386216,24.35179466,11.37013945,14.21574813
158,12.60889464,12.4211925,8.572526,22.93271727,5.36954493,14.44590617
159,11.30659305,10.269269,10.716915,23.27621815,8.885749302,11.92544219
160,12.71066943,12.50565126,7.39077,24.91422047,9.523493983,12.70576552
163,12.6171287,11.6856179,13.68827,25.94430028,9.318785595,11.08887386
165,11.18378593,11.04950425,5.886717,20.93678867,9.820690112,25.19008983
167,,,4.062622,23.3144248,7.18996272,9.140118312
169,11.44370292,9.562138437,7.199217,22.96160457,6.094079992,12.90019626
170,15.98775471,12.98144835,11.50657,22.57084757,7.970564812,21.54074338
171,11.72883597,14.42524472,10.795667,23.88647608,9.218793213,13.7632244
173,11.02378163,10.42179409,6.364587,22.27625014,7.731218563,16.46455628
174,15.03881944,11.33641929,6.84666,22.57169677,11.72116705,13.07465478
175,16.05732486,8.407290934,6.644638,21.94689224,11.00814168,7.540862036
176,9.667744515,10.848135,4.660509,23.06861986,6.053516076,13.25315325
179,11.06707858,11.52712729,7.33298,23.21641108,9.283495171,8.25452889
181,11.33465289,12.8940249,5.743732,22.37710366,6.409384732,7.857857848
182,11.65743576,13.96933876,11.072173,25.35114049,13.61389816,18.0949282
184,7.566318403,9.18352377,,,7.105099546,14.54861844
186,12.26034917,10.65662463,,,7.345882179,16.57101944
187,10.78220897,11.90605159,5.516419,23.23154301,6.262252691,9.59651779
188,7.889287997,11.34069942,4.01952,23.45288816,5.406206852,15.64903703
189,13.45295033,11.96198037,11.983166,23.8281715,10.12619183,16.22196383
190,13.312281,11.30407478,10.667301,24.18959513,8.284426049,16.63970646
