id,F09_IT_Surv_noedge_mean,F09_SW_Surv_noedge_mean,F10_IT_Surv_noedge_mean,F10_SW_Surv_noedge_mean,F11_IT_Surv_noedge_mean,F11_SW_Surv_noedge_mean,F09_IT_NFrFrPr_noedge_mean,F09_SW_NFrFrPr_noedge_mean,F10_IT_NFrFrPr_noedge_mean,F10_SW_NFrFrPr_noedge_mean,F11_IT_NFrFrPr_noedge_mean,F11_SW_NFrFrPr_noedge_mean
136,1,1,0.611111111,0.444444444,0.777777778,0.611111111,12.23529412,14.38888889,8.909090909,58.375,7.642857143,28.09090909
137,0.944444444,1,0.666666667,0.5,0.888888889,0.5,10.23529412,10.88888889,9.333333333,31.77777778,8.75,35.33333333
140,0.941176471,1,0.722222222,0.388888889,0.888888889,0.444444444,16.3125,11.46666667,21.08333333,56.28571429,12.375,23.375
141,1,1,0.647058824,0.444444444,0.833333333,0.388888889,15.11764706,11.4,6.636363636,40.42857143,8.666666667,19.14285714
143,0.9375,1,0.888888889,0.5,0.777777778,0.5,16.8,11.94117647,12,39.77777778,12.92857143,21
144,0.9375,1,0.444444444,0.555555556,0.888888889,0.555555556,9.533333333,11.38888889,12.375,41.8,6.625,40.1
145,0.866666667,1,0.555555556,0.555555556,0.555555556,0.5,8.846153846,9.529411765,4.9,42.6,6,26.33333333
146,1,1,0.722222222,0.5,1,0.444444444,16.41176471,11.73684211,14.84615385,84.22222222,18.44444444,21.75
148,1,1,0.555555556,0.5,0.833333333,0.555555556,11.375,14.07142857,5.7,54.44444444,6.6,39.8
149,0.944444444,0.933333333,0.555555556,0.444444444,1,0.5,15.82352941,9.071428571,21,45.25,16.16666667,16.77777778
150,0.941176471,1,0.666666667,0.722222222,0.944444444,0.611111111,13.625,9.625,12.16666667,38.53846154,11.23529412,22.18181818
152,0.941176471,1,0.764705882,0.555555556,0.888888889,0.333333333,14.6875,8.470588235,18,39.8,14,30.66666667
154,0.944444444,0.941176471,0.555555556,0.5,0.722222222,0.722222222,10.41176471,10.6875,6.3,61.22222222,10.61538462,27.46153846
157,1,1,0.777777778,0.555555556,0.888888889,0.555555556,14.5,13.3125,14.64285714,58.2,12.9375,26.7
158,1,1,0.722222222,0.444444444,0.944444444,0.555555556,12.76470588,13.82352941,11.07692308,50.125,5.352941176,28.9
159,0.9375,1,0.888888889,0.611111111,0.833333333,0.444444444,11.86666667,8.4,14.125,48.36363636,10.86666667,24.5
160,1,1,0.722222222,0.722222222,0.888888889,0.555555556,12.8125,12.83333333,10.61538462,44.69230769,10.625,19.3
163,1,1,0.705882353,0.555555556,0.944444444,0.444444444,12.5,12.05882353,25.25,62.9,10.58823529,21.125
165,0.928571429,1,0.705882353,0.222222222,0.722222222,0.833333333,11.23076923,11.2,8.75,47.75,13.69230769,41.06666667
167,,,0.388888889,0.444444444,0.833333333,0.333333333,,,4.285714286,48.25,9.533333333,12.33333333
169,0.947368421,0.941176471,0.647058824,0.388888889,0.555555556,0.444444444,12.38888889,9.1875,11.72727273,52.85714286,6.6,24.625
