"genotype","mean_it2010","mean_it2011","mean_sw2010","mean_sw2011"
303,NA,19.134716339,28.183982684,30.7661865157
304,22.6885133982,21.4683221928,27.4147274294,27.089673892
305,22.9171000624,17.001196606,NA,28.1269431644
306,23.3284524718,20.8263378268,26.0680038119,23.6428571429
308,25.6110703812,26.1507816694,26.4285714286,23.4822151964
309,22.6090923466,20.2851270053,24.8302808303,28.3166248956
310,19.468271757,19.4373487598,23.6740740741,26.2946797369
311,NA,13.769186291,21.6629068679,NA
312,23.9207964029,21.072954823,23.3661817587,28.8193722944
313,23.2234071772,22.4263116682,24.7238409738,27.8234935563
314,24.7240991345,24.7228155616,28.7365414195,27.4722800918
316,24.797014717,20.9382665945,24.9435136562,25.0272727273
317,NA,18.9753211629,28.3794808436,28.5037067183
323,21.5543531538,24.5513114925,26.087541007,27.0304281039
324,24.5294560512,22.7002660707,25.4691094141,25.1459223518
326,20.7989130435,27.0301392507,28.3684605124,30.2776485659
328,20.5573138346,18.1174231566,23.5028789659,25.3202729309
330,19.1373603205,17.480334114,19.6206959707,NA
331,23.6343123543,19.4918479769,24.9512579134,24.8148430114
332,26.4348093758,21.2384779774,24.4535522044,27.2321976807
333,25.6375565611,17.8822225072,25.0140067418,25.5813884258
334,23.047979798,17.4965942954,25.4296001159,26.5775115689
335,22.3816738817,19.21395898,NA,24.8107227917
336,24.7856095742,23.6746001032,24.5090799833,28.2945045882
337,21.8556633422,15.0220155204,25.2436893362,25.1272378517
338,25.7847870481,21.190886404,NA,28.5206776748
341,26.7234644582,NA,27.0506265664,28.9614949019
342,19.7659632035,17.5719814241,26.7655082548,NA
344,27.8802330274,NA,27.0408222819,27.9161344165
345,21.2301587302,19.4519230769,NA,27.6889850412
348,17.8530061892,NA,24.7058706577,26.7884462657
349,22.9189393939,16.9307394395,NA,25.2845528455
351,21.7054984231,24.678078791,26.2820512821,29.7890612371
352,21.5593825249,21.6535369082,23.2682025782,29.1887683564
353,21.9319990798,26.1108456761,25.7464415396,28.0339560719
356,28.2712374582,21.11207906,26.21875,29.6096698328
357,21.4033445161,25.6178016083,23.9187712872,27.5039746755
358,NA,23.2417831263,26.9365203762,29.4733581692
360,20.7901669529,21.0344923276,22.7952201307,26.9336646336
361,22.1683405069,NA,23.9013494105,28.7528268174
362,21.9937921083,NA,22.8782610819,27.4540229885
364,27.3398941799,26.8846153846,28.2420875421,30.2297784042
366,26.8217156609,20.3893494335,23.8369722889,25.8295518207
369,22.293040293,22.0302694471,24.0407724211,NA
371,25.5298544167,17.41120267,25.99988044,28.0750790309
379,24.7034482759,21.5686600221,29.2382593376,26.8938886567
380,20.6447241892,22.3614245014,26.4096112686,32.1637210969
383,20.8734772816,19.765960768,23.9349819628,25.7965909091
384,23.6317679806,22.4561032324,24.750927398,25.9556956216
385,22.1267416057,18.6214452214,25.1490568124,25.2900493531
386,19.496124031,14.7863795375,24.8265745812,28.7754324456
388,20.189023569,19.8427364778,NA,NA
390,20.3607035295,16.7521454261,23.7850902322,27.7061919505
391,23.3588180104,21.609522959,23.2029569892,24.494245311
393,24.1839989876,18.258908046,23.6555295195,25.2629310345
394,24.4892635661,19.2164003759,29.5462280204,25.8305232558
395,26.9526412052,20.088915259,29.2018034216,27.4865542234
396,25.0848118548,25.9128800022,29.7744024813,29.6568627451
397,20.0430778372,18.0071707045,24.436954529,NA
399,NA,NA,28.8955026455,NA
403,NA,16.1506109023,24.6975129199,25.4873511905
409,23.0683760684,21.6319444444,26.4459436216,28.2980522602
411,21.6203703704,23.3734366157,27.3485471117,27.9937019769
414,19.8834876543,22.487328104,24.2767837524,25.0807017544
415,23.1465026202,21.216374269,26.3004001637,29.311976912
416,24.0083736126,20.3824291814,26.8392255892,29.2784666113
417,23.0188431364,20.1508911808,21.2234761708,24.2570111048
418,22.028607459,19.8135554472,26.4708760697,27.5904558901
420,20.3493078739,21.0754671252,23.5861394816,25.5452886215
423,24.3792359075,19.3941972369,26.1925824923,27.9080243034
426,28.3892730832,19.9686533652,26.6767320817,22.7236996337
427,19.8704954955,20.4960863698,23.957046332,24.3539294542
428,17.373015873,21.3950098814,22.6887175325,25.9267969644
429,22.5336055114,14.4255640941,24.8740939195,NA
431,23.4578881766,21.1351007849,23.9466109105,25.7143550894
432,23.4047619048,22.7060895682,26.3102218027,24.2493381499
434,23.817579671,18.9969511109,24.7228900256,NA
435,21.1369345309,18.3766498002,25.562637873,27.2513912588
436,36.5376863132,NA,40.7132352941,NA
438,20.6228105228,23.2283753909,24.6824229692,28.0310150376
