"id","it2010","it2011","sw2010","sw2011"
144,12.375,6.625,41.8,40.1
145,4.9,6,42.6,26.33333333
146,14.84615385,18.44444444,84.22222222,21.75
147,NA,NA,NA,NA
148,5.7,6.6,54.44444444,39.8
149,21,16.16666667,45.25,16.77777778
150,12.16666667,11.23529412,38.53846154,22.18181818
152,18,14,39.8,30.66666667
154,6.3,10.61538462,61.22222222,27.46153846
155,17,7.733333333,47.84615385,31
157,14.64285714,12.9375,58.2,26.7
158,11.07692308,5.352941176,50.125,28.9
159,14.125,10.86666667,48.36363636,24.5
160,10.61538462,10.625,44.69230769,19.3
163,25.25,10.58823529,62.9,21.125
165,8.75,13.69230769,47.75,41.06666667
167,4.285714286,9.533333333,48.25,12.33333333
169,11.72727273,6.6,52.85714286,24.625
170,13.88235294,10.76923077,47,43.84615385
171,19.66666667,13.69230769,50.66666667,23.27272727
173,7.727272727,8.066666667,44,39.875
174,10.6,16.92857143,50.14285714,29.875
175,7,12.88888889,38.44444444,8.666666667
176,6.4,6.266666667,32.35714286,24.5
179,9.7,13.38461538,41.54545455,11.85714286
181,6.461538462,8.571428571,31.27272727,11
182,18.69230769,17.125,66.44444444,31.41666667
184,NA,7.692307692,NA,26.54545455
186,NA,7.538461538,NA,23.64285714
187,6.615384615,7.769230769,49.875,14.75
188,6.375,7.230769231,36.27272727,37.5
189,17.53333333,16.58333333,52.75,37.11111111
190,16.91666667,9,48.9,33.72727273
191,17.07142857,9.2,55.85714286,15.28571429
192,16.75,10.11764706,53.14285714,33.375
194,15.63636364,7.833333333,49.77777778,24.13333333
195,14.58823529,15.58823529,62.11111111,44.7
196,23.0625,18.92857143,44.72727273,29
197,15.5,14.86666667,39.30769231,13.33333333
198,7.25,7.583333333,45.09090909,15.6
199,17.83333333,8.571428571,81.88888889,33.38461538
200,8.25,7.916666667,45.625,16
202,9.875,7.142857143,48,22.1
203,10.27272727,12.8,36.25,19
205,8.363636364,6.733333333,64.55555556,36.36363636
206,5.666666667,7.833333333,36.42857143,27.27272727
207,12,8.6,66.83333333,7.571428571
208,14.9,7.357142857,68.83333333,36.5
209,25.81818182,8.5,48.66666667,33.625
210,12.90909091,8.3125,57.25,35.5
212,16.4,9.5,70.875,13.55555556
213,NA,NA,NA,NA
214,10.16666667,8.733333333,52.9,8.666666667
216,11,13,54.08333333,14.8
218,9.066666667,5.866666667,30.81818182,18
219,4.25,7.909090909,52.6,10.4
220,11.93333333,11,32.11111111,15.75
222,17,13.84615385,30.33333333,38.14285714
223,5.5,8.1875,51.57142857,20.4
224,13.88888889,6.5,51.22222222,28.125
225,13,8.727272727,52.125,19.3
226,13.54545455,9.1875,55.72727273,46.14285714
227,10.33333333,8.666666667,38.42857143,19.75
228,12.14285714,11.73333333,40.8,33.16666667
230,7.6,8.75,37.33333333,19.75
231,NA,NA,NA,NA
232,11.33333333,10.14285714,48.23076923,13.81818182
234,11.22222222,14.66666667,60.1,20.66666667
236,17.64285714,12.46666667,36.3,7.25
237,17.90909091,9.692307692,32.42857143,19.90909091
239,18.88888889,10.58823529,44.8,27.2
240,6.166666667,9.222222222,33.81818182,13.09090909
241,16.22222222,12.8125,49.875,35.28571429
242,5.5,5,40.88888889,27.58333333
243,4.5,7.5,21.57142857,31.5
245,3.444444444,4.777777778,54.4,23.33333333
246,12.61538462,10.4375,48.7,51.25
247,8.444444444,7.454545455,72.44444444,59.8
249,8.363636364,5.1875,35.5,39.1
251,9.8,7.785714286,38.36363636,14.125
253,13.25,12.64705882,70.55555556,36.54545455
254,11.83333333,8.588235294,32.85714286,24.09090909
256,19.16666667,10.0625,37.375,35
259,6.888888889,12.4,43.76923077,7.166666667
260,9.25,6.4,39.66666667,22.28571429
262,6.909090909,8.846153846,50.5,14.54545455
263,6.222222222,6.375,31.375,45.66666667
264,7.9,8.9375,44.3,21.2
266,10.5,7.8,48.14285714,17.72727273
267,4.454545455,5.181818182,39.75,20.41666667
268,13.35294118,17.27777778,44.6,13.5
270,9.2,7.133333333,40.72727273,14.91666667
272,21.90909091,14.5625,32.18181818,11.28571429
273,6.2,7.5,44.25,18.25
275,11.4,9.764705882,41.27272727,17.84615385
279,11.83333333,13.29411765,49.58333333,37.77777778
281,8.692307692,3.090909091,38.42857143,25.77777778
282,7.444444444,6.416666667,46.09090909,25.27272727
284,10.76923077,10.86666667,43.7,37.83333333
285,11.27272727,9.1875,36.8,31.09090909
289,7.666666667,10.33333333,53.55555556,37.30769231
291,9.25,19.93333333,39.27272727,29.45454545
295,13.2,12.6875,68.66666667,28.77777778
297,6.5,7.416666667,32.58333333,27.84615385
299,5.6,6.181818182,44.33333333,30.46153846
301,9.4,10.64705882,57.33333333,18.90909091
NA,NA,NA,NA,NA
303,4.25,5.25,43.3,53.6
304,9.4375,10,45.55555556,23.66666667
305,10.66666667,7.615384615,45.85714286,26
306,20.92857143,22.25,38.30769231,34
308,9,10.5,36,22.5
309,11.33333333,9,57,19
310,10.7,8.294117647,40.5,36.83333333
311,6.545454546,9.642857143,38.2,10.6
312,16.36363636,7.916666667,44.85714286,43
313,7.866666667,9.764705882,33.6,15.57142857
314,7.083333333,7,38.57142857,22.72727273
316,9.111111111,6.933333333,26.5,29
317,3,5.833333333,62.5,19.14285714
323,16.29411765,13,42.92857143,29.33333333
324,5.545454546,9.642857143,52.92307692,31.36363636
326,10.5,10.625,50.45454546,26.27272727
328,8.428571429,11.2,45.11111111,31.07692308
330,26.46153846,14.83333333,52.27272727,17.8
331,8.166666667,9.266666667,40.27272727,15
332,17.9,12.3125,35.57142857,52.91666667
333,8.666666667,13.52941176,80.45454546,37.88888889
334,8.444444444,9.8125,43.42857143,16.63636364
335,13,8,82,20.27272727
336,7.2,10.21428571,32.55555556,20.28571429
