"genotype","it2010","it2011","sw2010","sw2011"
268,365.870588332,428.104938327051,1364.76,351
270,218.5,193.392592583476,1588.36363647,451.2291667675
272,803.333333367397,420.694444444606,933.27272722,341.3928572725
273,145.08,155.00000000025,2024.4375,576.7
275,307.8,265.042016797561,1586.05194794832,505.641025749405
279,303.722222137061,425.4117648,1374.16666657499,1145.92592599207
281,231.2153846072,NA,1642.8214286325,893.629629707526
282,171.222222212,110.68750000575,1597.8181817882,669.727272655
284,292.564102585359,323.585185284686,1846.325,1469.19444431374
285,352.2727271875,246.749999999606,1494.08,858.109090884
289,213.388888897911,323.285714181281,1713.77777792,1287.115384695
291,222,592.304761805999,1582.12987001944,824.7272726
295,396,289.999999999456,2660.8333334625,892.11111118
297,198.25,170.583333341,1159.03571416621,960.692307825
299,136.26666666648,106.3272727304,1897.466666524,905.142857097578
301,244.4,270.908496641749,1770.16666656375,510.54545457
NA,NA,NA,NA,NA
303,NA,159.249999999825,1833.03333333189,1811.68
304,318.9875,207.5,1879.16666685,693.095238192519
305,192.00000006,165.362637354395,NA,540.8
306,763.892857195,636.90625,1439.27472536033,892.5
308,252,259.50000000015,1428.0000000012,837
309,322.999999905,246.375,2109,522.5
310,306.02,167.067226889927,1282.50000000135,1132.6249998975
311,NA,303.7500000045,1270.15,NA
312,572.7272726,220.0833333426,1973.71428584,1823.2
313,185.428571436204,250.627450971659,1176,424.3214285325
314,212.49999999,169.9090909089,1478.57142851538,753.246753338117
316,220.185185182804,188.066666657625,967.25,974.4
317,NA,185.20833332275,2041.66666666875,645.387755005988
323,410.973856282971,382.7777777772,1438.107142905,1038.399999882
324,122.000000012,260.357142861,2159.261538336,1045.45454533229
326,246.75,263.854166666312,1801.94805214358,848.233766145339
328,190.244897968616,327.04,1633.022222182,1051.43589753896
330,932.769230715,439.43749990125,1484.545454468,NA
331,212.333333342,211.975000007625,1516.93939383801,397.5
332,408.12,270.875,942.642857105,1534.58333343
333,218.83333334175,480.29411748,2988.31168851773,1332.42592596626
334,170.999999991,210.96875,1259.42857147,454.727272826112
335,239.2,204,NA,598.045454465
336,193.37142857112,274.083333217993,1242.53703720775,675.224489938282
337,271.4,283.68055545,1528.875,852.0416667675
338,148.444444434989,180.0000000001,NA,1366.38333333227
341,223.6444444384,NA,1212.75000000124,469.9
342,102.0625,77.5,2606.999999868,NA
344,167.1428571345,NA,2864.16,997.74999987
345,230.636363695,233.116666572,NA,974.8846154075
348,172.388888877,NA,3502.81481490727,1842.2857142872
349,472,311.670329708034,NA,1660.48148164155
