year,site,tray,pos,row,column,subline,genotype,fruit_per_plant,fruit_per_seed
2010,italy,21,57,5,5,Sw47,sweden,,0
2010,italy,21,67,6,2,It24,italy,11,11
2010,italy,21,99,8,8,Sw11,sweden,,0
2010,italy,21,117,9,13,It24,italy,8,8
2010,italy,21,125,10,8,It41,italy,63,63
2010,italy,21,129,10,12,It32,italy,,0
2010,italy,21,170,14,1,It41,italy,21,21
2010,italy,21,213,17,5,It24,italy,20,20
2010,italy,21,244,19,10,Sw7,sweden,,0
2010,italy,21,248,20,1,It41,italy,,0
2010,italy,22,84,7,6,Sw7,sweden,,0
2010,italy,22,88,7,10,It15,italy,4,4
2010,italy,22,141,11,11,It15,italy,,0
2010,italy,22,150,12,7,Sw11,sweden,,0
2010,italy,22,154,12,11,It32,italy,62,62
2010,italy,22,206,16,11,It41,italy,9,9
2010,italy,22,208,16,13,It15,italy,7,7
2010,italy,22,224,18,3,It32,italy,,0
2010,italy,22,238,19,4,It15,italy,6,6
2010,italy,22,260,20,13,It24,italy,11,11
2010,italy,23,22,2,9,Sw47,sweden,3,3
2010,italy,23,34,3,8,Sw7,sweden,,
2010,italy,23,60,5,8,It24,italy,11,11
2010,italy,23,105,9,1,Sw43,sweden,,0
2010,italy,23,145,12,2,It32,italy,7,7
2010,italy,23,171,14,2,It32,italy,,0
2010,italy,23,217,17,9,Sw7,sweden,,0
2010,italy,23,245,19,11,It24,italy,15,15
2010,italy,23,248,20,1,It41,italy,5,5
2010,italy,23,252,20,5,Sw43,sweden,,0
2010,italy,24,17,2,4,Sw43,sweden,9,9
2010,italy,24,19,2,6,Sw43,sweden,,0
2010,italy,24,31,3,5,It24,italy,35,35
2010,italy,24,36,3,10,Sw11,sweden,,0
2010,italy,24,45,4,6,Sw11,sweden,,0
2010,italy,24,65,5,13,Sw47,sweden,5,5
2010,italy,24,72,6,7,It24,italy,14,14
2010,italy,24,73,6,8,It41,italy,4,4
2010,italy,24,78,6,13,It41,italy,15,15
2010,italy,24,91,7,13,Sw11,sweden,7,7
2010,italy,24,103,8,12,It24,italy,40,40
2010,italy,24,140,11,10,It24,italy,5,5
2010,italy,24,166,13,10,Sw11,sweden,,0
2010,italy,24,204,16,9,Sw47,sweden,3,3
2010,italy,24,211,17,3,Sw47,sweden,4,4
2010,italy,24,248,20,1,It41,italy,81,81
2010,italy,25,26,2,13,It32,italy,,0
2010,italy,25,48,4,9,It32,italy,5,5
