year,site,tray,pos,genotype,fruit_per_plant,nseeds,mean_mass_ug,total_mass_mg,Comment
2010,sweden,29,202,italy,0,,,,
2010,sweden,29,209,sweden,21,15,,,bara 1 skal med i kuvert
2010,sweden,29,232,sweden,0,,,,
2010,sweden,29,256,sweden,0,,,,
2010,sweden,30,53,sweden,0,,,,
2010,sweden,30,101,italy,0,,,,
2010,sweden,30,136,sweden,0,,,,
2010,sweden,30,198,sweden,0,,,,
2010,sweden,30,231,italy,0,,,,
2010,sweden,30,236,sweden,0,,,,
2010,sweden,30,241,italy,0,,,,
2011,italy,1,8,italy,0,,,,
2011,italy,1,45,sweden,6,13,25.3846153846,330,
2011,italy,1,52,italy,8,33,21.2121212121,700,
2011,italy,1,76,italy,11,,,,
2011,italy,1,86,sweden,4,,,,
2011,italy,1,90,italy,12,35,22,770,
2011,italy,1,96,italy,9,,,,
2011,italy,1,98,italy,7,,,,
2011,italy,1,194,italy,10,40,12.5,500,
2011,italy,1,201,italy,10,36,20.2777777778,730,G
2011,italy,1,240,sweden,3,,,,
2011,italy,2,20,italy,12,,,,
2011,italy,2,98,sweden,2,,,,
2011,italy,2,151,sweden,3,,,,
2011,italy,2,156,sweden,0,,,,
2011,italy,2,164,italy,11,31,20.3225806452,630,
2011,italy,2,171,sweden,4,,,,
2011,italy,2,207,italy,22,39,19.4871794872,760,
2011,italy,2,239,italy,13,27,16.2962962963,440,
2011,italy,2,252,italy,8,,,,
2011,italy,3,3,sweden,3,,,,
2011,italy,3,63,italy,16,,,,
2011,italy,3,155,italy,10,,,,
2011,italy,3,166,sweden,3,,,,
2011,italy,3,167,italy,12,,,,
2011,italy,3,190,italy,21,16,18.75,300,
2011,italy,3,191,sweden,7,,,,
2011,italy,3,198,sweden,8,,,,
2011,italy,4,3,sweden,6,21,14.7619047619,310,
2011,italy,4,26,sweden,8,30,19,570,
2011,italy,4,35,italy,6,29,19.6551724138,570,
2011,italy,4,59,sweden,0,,,,
2011,italy,4,97,italy,11,,,,
2011,italy,4,100,italy,14,40,24.25,970,
2011,italy,4,122,italy,35,41,24.6341463415,1010,
2011,italy,4,138,sweden,3,18,11.6666666667,210,
2011,italy,4,164,sweden,8,13,32.3076923077,420,
2011,italy,4,214,sweden,7,25,18.4,460,
2011,italy,4,216,sweden,8,19,15.7894736842,300,
2011,italy,4,224,sweden,0,,,,
2011,italy,4,232,sweden,3,14,24.2857142857,340,
2011,italy,4,234,italy,20,23,18.6956521739,430,
2011,italy,4,241,italy,15,30,24,720,
2011,italy,5,16,sweden,5,26,15,390,
2011,italy,5,88,sweden,2,,,,
2011,italy,5,89,sweden,2,9,,,
2011,italy,5,154,italy,11,,,,
2011,italy,5,162,sweden,0,,,,
2011,italy,5,218,sweden,0,,,,
2011,italy,5,221,italy,20,44,8.8636363636,390,
2011,italy,5,225,italy,29,42,21.4285714286,900,
2011,italy,5,227,sweden,0,,,,
2011,italy,5,230,sweden,1,,,,
2011,italy,5,238,italy,21,46,22.1739130435,1020,
2011,italy,6,44,italy,5,,,,
2011,italy,6,65,italy,22,23,23.9130434783,550,
2011,italy,6,85,sweden,6,18,24.4444444444,440,
2011,italy,6,104,sweden,6,,,,
2011,italy,6,121,sweden,4,,,,
2011,italy,6,127,sweden,11,28,22.1428571429,620,G
2011,italy,6,148,italy,23,,,,
2011,italy,6,163,italy,21,42,25,1050,
2011,italy,6,183,sweden,0,,,,
2011,italy,6,187,sweden,7,13,16.9230769231,220,
2011,italy,6,195,italy,11,,,,
2011,italy,6,213,sweden,4,17,20,340,
2011,italy,6,214,italy,29,38,23.9473684211,910,
2011,italy,6,218,sweden,7,20,26.5,530,
2011,italy,6,252,sweden,6,25,19.2,480,
2011,italy,7,2,sweden,4,13,10,130,
2011,italy,7,10,sweden,6,,,,
2011,italy,7,22,sweden,9,25,13.6,340,
2011,italy,7,62,sweden,15,35,11.1428571429,390,
2011,italy,7,87,sweden,0,,,,
2011,italy,7,88,italy,12,30,16.6666666667,500,
2011,italy,7,104,sweden,4,21,,,
2011,italy,7,112,italy,10,,,,
2011,italy,7,146,italy,8,,,,
2011,italy,7,179,italy,57,47,27.4468085106,1290,
2011,italy,7,182,sweden,0,,,,
2011,italy,7,221,sweden,0,,,,
2011,italy,7,229,sweden,9,16,29.375,470,imm
2011,italy,7,239,italy,17,35,18.8571428571,660,
2011,italy,7,251,italy,10,,,,
2011,italy,8,44,sweden,8,25,13.6,340,
2011,italy,8,48,italy,34,43,17.4418604651,750,
