"id","it2010","it2011","sw2010","sw2011"
358,22.3333333333,24.8333333333,39.25,36.2857142857
360,30.25,25.8888888889,34.5,29
361,34.8,22.5,43.4285714286,49
362,30.1428571429,30,29.2,25
364,26.2,24.25,33.8,36.4285714286
366,30.4,25,40.8333333333,35.75
369,26.4,26.125,41.25,34.5
371,18.25,20.7142857143,38.3333333333,35.2857142857
379,26.4,25.6,36.8,42.8571428571
380,25.5,28,36.2,28.1666666667
383,27.25,23,35.6,32.75
384,40,27,44,32.8571428571
385,28.1428571429,25.8,28.1666666667,24.2857142857
386,29.3333333333,21.6,32.6,33.7142857143
388,31.2,31,19.3333333333,23
390,30.5714285714,29.6,41.1111111111,23.4
391,31.6666666667,29.3333333333,34,34
393,30.75,34,34.2,32.75
394,27.8888888889,29.625,36.6666666667,33.8
395,30.2857142857,28.4,29.2,30.3333333333
396,28.6,25.8,35.1666666667,31.5
397,21.5,25.5714285714,37.25,13
399,1.5,6,13.3333333333,10.6666666667
403,24,21,37.25,23.25
409,31.5,37.6,38.6,38.25
411,24.2,23.7142857143,39.1666666667,36
414,27.1666666667,24.1428571429,37.5,31
415,19.3333333333,17,38.8333333333,30.4285714286
416,28.7142857143,31.25,31,32.8571428571
417,41.2857142857,23.625,38.1428571429,36
418,26.8333333333,25.5,37.4,31
420,28.5714285714,32.6666666667,31,30.1111111111
423,31.1666666667,27.25,30.5,32.6666666667
426,31.75,31.8571428571,30.6666666667,28.4
427,32.25,24,44,28.25
428,27.75,21.5555555556,43.5,33.1666666667
429,33,30.25,40,29
431,28.8333333333,30.25,30.1428571429,33.75
432,33.8571428571,27.6666666667,44,31.2
434,32.4,30.2,29.8,33
435,27.5714285714,35.5714285714,38.6666666667,29.2857142857
436,21.4285714286,17.5,14.5,14.5
438,33.6,25.7142857143,41.5,30.5
439,23.5,30.8333333333,43.8,35.6
440,28.6,35.6666666667,38,33.6
442,30,19.25,37.5,28.8571428571
444,29.3333333333,30,43.8,36.4285714286
445,29.2,27.6363636364,32.8333333333,27.8333333333
447,30.1666666667,24.4,41.3333333333,31.5
448,33.6,NA,29,NA
449,18,23.2,21.5,18.5
450,30.25,26.4,36.6,36
452,36.75,27.375,32.5,33.5
454,31.125,36.3333333333,35,36.25
455,33.5,27.875,36.8571428571,31
456,23.8333333333,21.8,35.3333333333,28.875
457,34,29.5,34,32.5714285714
458,26.8,25.8571428571,32.75,11
459,23.8,32.1111111111,38.4,28.6666666667
460,27,27.7142857143,37.6,24
461,25.8,37.8,29.6,24.5
462,27.8,26.875,36.75,32.5
463,21.4,24.1666666667,36.8333333333,30
466,29.25,19.6666666667,33.7142857143,27.3333333333
469,21.6,21.5714285714,35.8,23.3333333333
470,33.25,22.75,34.3333333333,30
472,29.8333333333,26.75,NA,23.6666666667
473,26.6666666667,22.75,35,28.8333333333
475,33.5,29.4285714286,40.8,26.8
476,34,25.3333333333,34.4,27
NA,NA,NA,NA,NA
481,24,27.625,24,33.25
484,26.6666666667,26.7142857143,35.3333333333,36
485,20.25,25.8333333333,33.6,21.6666666667
486,24.4,18.6666666667,36.5,33.4
488,20.3333333333,NA,37.5,NA
489,29.25,41.4,30.75,26.8
490,26.7142857143,21.75,34,23
494,33,21.2,36.1428571429,27.5
495,25,29.8333333333,36.4285714286,35.75
496,22.25,20.6666666667,22.8,39
499,30.1428571429,23.75,32.5,18.5
503,29,20.875,34.2857142857,29.2857142857
504,27,43,47,29
506,30.1666666667,23.5555555556,35.625,30.2857142857
507,32.5,33.5833333333,32.5,34.6
508,24.7777777778,25.6,36,30.4285714286
509,28.25,33.2,35,31.4
510,23.75,27,30.5,35
513,24.6666666667,26,37,34.3333333333
515,26.4,24.5555555556,38.5714285714,30.6
516,24,25,42.1666666667,33.5
519,28.25,31.3333333333,42,41.5
520,13.25,16.5,39.5,31.75
521,33.8888888889,34.6666666667,42.7142857143,29.1666666667
522,27,23.2857142857,43,30
524,33,29.2,31,22.25
527,32.6666666667,28.6666666667,40.6,31
528,32.2,27.1428571429,35.8,36.6
530,32.4,28.5,43,33.75
535,23.75,27,36.75,29
536,26,22.5,37.2,32.1666666667
540,22,19.5,31,27.5
541,30.2,32,44.8,35
545,35,39.3333333333,33,28
547,24.75,29.8,48,41.5
548,28.2,22.6666666667,28.8333333333,21.2
549,29.75,24.2857142857,32,28.25
550,26.6,21.6666666667,30,30.2
552,24.2,23.5714285714,40,38.25
553,24.6,23.25,28.2,29.8333333333
558,21.6666666667,16.75,40.8571428571,27.3333333333
559,28.6666666667,26.8,35.8,24
560,25.8333333333,21.8,38.6666666667,31.3333333333
561,27.6,17,41,35.5
562,22,35,37.1428571429,34.6666666667
563,24.5,24.8,32.6666666667,28
564,27.5,22,36.8333333333,24.75
565,34,28.4,39,32.6
567,31.8,28.1428571429,39.5,37.1666666667
571,36.25,33.3333333333,36.75,30.75
572,25.8,26.4285714286,37.6,31
574,25,22.5714285714,29.5,26.2857142857
575,29,20.6666666667,39,33.8571428571
576,30.8333333333,23.8333333333,33.6666666667,27.75
578,24,22.2,33,27.5714285714
579,22.25,18,38.8,39.6666666667
581,27.3333333333,27.8,33.2,30.5
582,13,21.2857142857,26.6,25.5
583,22.3333333333,22.75,30.6666666667,32.25
586,28.25,30.625,42.4,36
587,25.8,34,37.1428571429,29
590,26.75,32.2,32.1428571429,23.5
593,28.75,25.5,47,30.7142857143
594,33,25.8571428571,34.8,33.4
595,20.75,20.4,35.6666666667,33.75
596,24.6,28.8333333333,41.8,35.6666666667
601,27,21,29.5,24.6666666667
602,25.2,21.25,47,35.2857142857
605,27.5,11.5,42.5714285714,31.5714285714
606,28.8,22.4285714286,37,34.75
607,19.25,22.4,35.2857142857,35
609,40.25,30,37.6,21.3333333333
610,19.8333333333,19.3333333333,31.1666666667,25.4
612,24.4,27.7142857143,37.6,24.5
614,24,22.6666666667,37,39
619,28.75,29.8888888889,35.3333333333,24
620,29.2,34.6666666667,33,30.8333333333
623,22.4,24.1666666667,33,27.4285714286
625,22.7142857143,33.6666666667,30.75,17.5
629,31.5,26.7142857143,29.5,31.6666666667
631,26,25.1428571429,29.2857142857,32
633,24.25,17.25,40,37
635,22.8333333333,33.75,34.3333333333,34.2857142857
640,30,21,38.6,38.1666666667
642,28.1666666667,24.75,35.6,21.8
644,27,33.6666666667,32.625,28.25
647,23.5,14.8571428571,34.2,25.3333333333
649,24.25,20,34,25.5
651,31.3333333333,26.6666666667,32.4,26
656,25.25,25.5,36,34.2
657,30.5714285714,32.5,43.6,35.4285714286
658,18.75,26.5,31.3333333333,28.1666666667
659,26.5,27.1428571429,36.6666666667,26.6666666667
660,19.5,27,42.25,25.3333333333
663,26.4,23.4,41.3333333333,31.6666666667
666,29.5714285714,20.8571428571,33,NA
672,18.6666666667,31,34.25,35
676,29.6,28.3333333333,35.6666666667,36.8888888889
680,32.8333333333,35.1111111111,35.75,26.6
681,24.25,20,35.8571428571,31.25
683,26.6,24.6666666667,24.4,32.3333333333
687,25.75,18.6666666667,38.2,34.8571428571
691,29,29,42.7142857143,34.125
697,24.1666666667,24.1818181818,36.6666666667,33.6
700,31.2,33.5,34.5,23.3333333333
