"genotype","it2010","it2011","sw2010","sw2011"
140,395.714251428931,278.385140008421,703.210384816,282.235400790398
141,100.545489,183.628746048,822.058660920758,323.257480083674
143,277.951855713873,336.70013289,702.612420672,337.87805744
144,182.0801796,198.360609705,755.158163029092,657.294204525
145,85.45107725,92.164502848,855.74520784252,441.46753141
146,342.077583428716,595.7861956025,NA,NA
147,NA,NA,NA,NA
148,140.138628666496,120.962119298323,852.35346504,656.6795767
149,439.2941924,543.242753623814,803.372614486,249.28287936
150,230.588816,302.389956571126,791.6411934,367.563626772
152,364.8466395,311.51040762375,879.58999205,NA
154,68.350308,185.777297356267,861.62910192583,529.421608985549
155,289.219344,160.058138165791,1113.0103231168,565.363577387896
157,278.696795999654,331.629067292046,921.309564635855,426.4724439
158,264.523659428204,144.97771311,710.91423537,410.263735228
159,292.929009999643,290.267810532296,981.480531992443,NA
160,223.201254,264.7531327274,946.74037786,290.417497599455
163,432.158238571037,300.064896159,908.0505098,388.1105851
165,171.450632625,332.500508077293,795.59796946,820.477211604995
167,96.1487206668021,206.11226464024,909.2625672,NA
169,229.17507449976,136.10111982113,838.098566805,496.65755601
170,406.56547333295,256.196726100342,925.40475037,849.320738983473
171,294.18192575,227.835889407132,726.148872832,459.69169496
173,160.70582175,228.8440694648,796.375942505,461.00757584
174,180.751824,433.68318085,925.43956757,470.68757208
175,NA,374.27681712,620.783523359686,NA
176,NA,152.851280919,922.7447944,NA
179,170.125136,298.9285445062,717.129142249147,220.8086478075
181,135.5520752,201.895619058,686.231178907413,NA
182,223.6578946,330.817725288,937.99219813,558.680908175
184,NA,152.759640239,NA,499.502566439515
186,NA,142.020388793755,NA,575.014374568
187,135.546295428414,NA,720.17783331,274.460408794
188,78.38064,118.035516268486,885.34652804,NA
189,328.3387484,270.031782133671,872.1110769,454.21498724
190,334.242097999644,245.771306120609,711.174096822,463.138496469445
191,361.948860000381,244.4894117105,890.492317559659,313.414329999667
192,324.23153625,285.9881415535,982.989592574,549.40846974
194,289.662359714015,160.17845382,951.316823717476,527.201863214052
195,419.4025495,447.590000343436,1025.444779128,631.281951488
196,437.76331575,352.15372578,947.08631431,665.92563732
197,280.585494,321.8145831175,689.281331427882,NA
198,149.812829,115.284525168478,825.904326407543,306.19830519
199,342.395651,248.50611679275,1113.6760218,496.89033828
200,138.7992438,NA,849.95136712,331.846752070367
202,148.1671296,NA,885.656530065854,348.109254957079
203,162.56799,292.813490722554,597.8396233275,303.161842200353
205,169.780134285462,203.5080694038,1048.60220648747,621.85494525
206,117.6276805,174.5982956925,838.125470844241,470.95376128
207,178.78266,138.4990565672,1165.75979231595,NA
208,330.6689136,215.853533091,964.76718053741,689.844596272
209,506.860243,181.38677123208,649.260091325,466.257090788781
210,251.357209666403,210.765062014,1028.27089482,544.240517615564
212,230.73187075,174.100874289241,898.031427846,255.47386382
213,NA,NA,NA,NA
214,201.96403200021,175.5237230875,952.64004367,NA
216,179.4374568,264.561203397999,811.68592864,220.424691993
218,206.6082914,133.041630555546,901.33597785,448.931353429588
219,87.63366875,NA,715.9615922675,242.352980776683
220,239.987550000259,262.7300449395,765.737170695,NA
222,264.813747,273.248481865465,909.584046,446.95115685
223,122.5414995,225.761456808,841.043255052,283.300867710164
224,304.1386716,167.025412034,951.161168144,450.12268587
225,148.74087,182.136654799375,909.74159353,428.271001938739
226,237.065471333044,222.912054279061,898.34570666681,870.44470705125
227,167.29813225,205.6873867228,847.16077968,415.677322584
228,187.86727875,229.970441104534,1033.94207914932,682.923221708
230,117.4981148,165.935187299504,844.7656491225,NA
NA,NA,NA,NA,NA
232,190.202809142636,188.0604846106,894.056629235846,236.76925328
234,147.0328144,316.6640697,805.40384724254,358.782873306
236,313.337470666285,206.7275570816,887.108375754605,197.055039428
237,288.3004124,206.0097753088,811.214043216,334.065105440138
239,293.3301016,310.664299349595,847.894648769233,460.84513532797
240,170.0241075,239.5870999522,910.08669948,385.69063673036
241,246.08105775,345.8707028625,574.946762407444,453.6698632325
242,74.536839,107.5210165872,727.77703895,524.605372534734
243,93.7634266668179,116.655790872,590.98984784,668.89298918
245,124.535313333187,104.290635590496,930.2456662125,509.66386182
246,222.989644285955,315.814353696,944.185947105,662.0296248
247,135.248762,124.343768895508,1022.989791276,1178.92015787125
249,154.5635655,98.6175591,934.80612661875,655.619554384972
251,161.03837125,140.7968000496,893.264194312595,313.501402422
253,277.742113,274.338241889845,1035.48323370748,540.339757324416
254,253.934493000281,166.41203532774,859.439448004,471.24020917
256,510.336542571772,213.8169965442,642.19683853,633.656789193817
259,163.120592,274.016301013451,957.430310808,142.553690196886
260,142.772651999848,122.4155508264,822.36894597,496.803692695389
262,112.67122,100.28676125475,710.51097156,323.421206208703
263,119.364672,168.4277542,797.657143675232,537.1048356
264,141.883533,147.220252493,759.4505136,285.5988036
266,203.56413,178.87478106125,827.240615322574,380.54839647
267,110.770037,129.4284393632,885.7916334375,373.44516056042
268,324.1144356,386.859823421458,715.31642322,235.855932182
270,184.2534025,188.008756088812,901.93420044,358.832037025
272,446.690566667073,361.505602177917,651.69490374,262.8843209135
273,102.6362844,150.80921467691,995.373059235,371.702031948
275,201.862341,243.182820281813,915.859717393538,335.017736616273
279,208.856263000271,365.52631392,680.553468857494,507.375404292776
281,193.469514,NA,972.8349410475,446.264114400429
282,118.602973,NA,853.194906027487,410.351987225
284,200.96169483358,235.947754313509,1009.297739775,772.231407981004
285,252.13740625,221.928054096789,906.759604646,481.19423826
289,172.904117999793,267.577468825164,730.95268064,687.488118135
291,180.954864,422.562705165917,926.3433582511,464.40177252
295,242.76252,244.449798856685,1024.2214616125,437.03641869
297,141.1800165,148.946415737,798.563405905073,569.50024092
299,134.208066666483,82.22833971,983.193964908,559.278563703126
301,197.836444,225.414703228495,740.335553945,346.511007
NA,NA,NA,NA,NA
303,NA,157.571647839494,973.606874219233,762.398311766
304,293.1466564,201.21490013575,977.106697875,417.426520649796
305,97.359714,158.35431057839,NA,295.371793392
306,493.5578545,483.38764789625,885.297081423612,377.6242162875
308,193.437664,223.494014171558,762.862764930641,478.222876524
309,243.6148365,223.2756901905,816.14204581,293.25931635
310,190.6919014,137.421719242578,695.643277267399,594.16880118
311,NA,282.132286758,750.416548105,NA
312,308.908495,196.754754231,981.7926052,780.882471832
313,159.003711428379,224.703441655292,799.80044935,259.8825747995
314,185.2575,176.347672069438,816.61657434929,490.837568103492
316,136.923693333522,150.320761532375,771.44812542,451.670700432
